country,country_code,year_week,source,new_cases,number_sequenced,percent_cases_sequenced,valid_denominator,variant,number_detections_variant,number_sequenced_known_variant,percent_variant
Netherlands,NL,2021-45,TESSy,93763,1804,1.9,Yes,B.1.617,0,1804,0
Netherlands,NL,2021-45,TESSy,93763,1804,1.9,Yes,B.1.617.2,1762,1804,97.7
Netherlands,NL,2021-46,TESSy,146966,1895,1.3,Yes,AY.4.2,44,1895,2.3
Netherlands,NL,2021-46,TESSy,146966,1895,1.3,Yes,B.1.617,0,1895,0
Netherlands,NL,2021-46,TESSy,146966,1895,1.3,Yes,B.1.617.2,1851,1895,97.7
Netherlands,NL,2021-47,TESSy,157130,1927,1.2,Yes,AY.4.2,51,1927,2.6
Netherlands,NL,2021-47,TESSy,157130,1927,1.2,Yes,B.1.1.529,4,1927,0.2
Netherlands,NL,2021-47,TESSy,157130,1927,1.2,Yes,B.1.617,0,1927,0
Netherlands,NL,2021-47,TESSy,157130,1927,1.2,Yes,B.1.617.2,1872,1927,97.1
Netherlands,NL,2021-48,TESSy,152173,1899,1.2,Yes,AY.4.2,50,1899,2.6
Netherlands,NL,2021-48,TESSy,152173,1899,1.2,Yes,B.1.1.529,11,1899,0.6
Netherlands,NL,2021-48,TESSy,152173,1899,1.2,Yes,B.1.617,0,1899,0
Netherlands,NL,2021-48,TESSy,152173,1899,1.2,Yes,B.1.617.2,1838,1899,96.8
Netherlands,NL,2021-49,TESSy,128501,1880,1.5,Yes,AY.4.2,59,1880,3.1
Netherlands,NL,2021-49,TESSy,128501,1880,1.5,Yes,B.1.1.529,28,1880,1.5
Netherlands,NL,2021-49,TESSy,128501,1880,1.5,Yes,B.1.617,0,1880,0
Netherlands,NL,2021-49,TESSy,128501,1880,1.5,Yes,B.1.617.2,1792,1880,95.3
Netherlands,NL,2021-49,TESSy,128501,1880,1.5,Yes,Other,1,1880,0.1
Netherlands,NL,2021-50,TESSy,99685,1864,1.9,Yes,AY.4.2,59,1864,3.2
Netherlands,NL,2021-50,TESSy,99685,1864,1.9,Yes,B.1.1.529,168,1864,9
Netherlands,NL,2021-50,TESSy,99685,1864,1.9,Yes,B.1.617,0,1864,0
Netherlands,NL,2021-50,TESSy,99685,1864,1.9,Yes,B.1.617.2,1636,1864,87.8
Netherlands,NL,2021-50,TESSy,99685,1864,1.9,Yes,Other,1,1864,0.1
Netherlands,NL,2021-51,TESSy,85161,1621,1.9,Yes,AY.4.2,50,1621,3.1
Netherlands,NL,2021-51,TESSy,85161,1621,1.9,Yes,B.1.1.529,463,1621,28.6
